Year,Country_Vehicle,value
2002,DE_BUS,6.7
2002,DE_CAR,86.2
2002,DE_TRN,7.1
2002,DK_BUS,14.0
2002,DK_CAR,77.1
2002,DK_TRN,9.0
2002,EL_BUS,23.0
2002,EL_CAR,75.1
2002,EL_TRN,1.9
2002,ES_BUS,12.3
2002,ES_CAR,82.5
2002,ES_TRN,5.2
2002,FI_BUS,11.1
2002,FI_CAR,84.1
2002,FI_TRN,4.8
2002,FR_BUS,5.0
2002,FR_CAR,86.4
2002,FR_TRN,8.7
2002,HU_BUS,24.7
2002,HU_CAR,61.3
2002,HU_TRN,13.9
2002,IE_BUS,15.6
2002,IE_CAR,81.0
2002,IE_TRN,3.5
2002,IT_BUS,11.2
2002,IT_CAR,83.1
2002,IT_TRN,5.7
2002,LU_BUS,10.5
2002,LU_CAR,85.7
2002,LU_TRN,3.9
2002,NL_BUS,4.3
2002,NL_CAR,86.4
2002,NL_TRN,9.3
2002,PL_BUS,13.5
2002,PL_CAR,77.0
2002,PL_TRN,9.5
2002,PT_BUS,10.9
2002,PT_CAR,84.9
2002,PT_TRN,4.3
2002,SE_BUS,8.2
2002,SE_CAR,84.0
2002,SE_TRN,7.8
2002,SI_BUS,13.2
2002,SI_CAR,83.9
2002,SI_TRN,3.0
2003,AT_BUS,10.9
2003,AT_CAR,79.5
2003,AT_TRN,9.5
2003,BE_BUS,13.0
2003,BE_CAR,80.5
2003,BE_TRN,6.5
2003,CH_BUS,5.2
2003,CH_CAR,79.8
2003,CH_TRN,15.0
2003,DE_BUS,6.8
2003,DE_CAR,86.1
2003,DE_TRN,7.2
2003,DK_BUS,11.6
2003,DK_CAR,79.1
2003,DK_TRN,9.3
2003,EL_BUS,22.1
2003,EL_CAR,76.4
2003,EL_TRN,1.6
2003,ES_BUS,11.8
2003,ES_CAR,83.1
2003,ES_TRN,5.1
2003,FI_BUS,10.9
2003,FI_CAR,84.4
2003,FI_TRN,4.7
2003,FR_BUS,5.0
2003,FR_CAR,86.6
2003,FR_TRN,8.4
2003,HU_BUS,24.6
2003,HU_CAR,62.0
2003,HU_TRN,13.4
2003,IE_BUS,15.3
2003,IE_CAR,81.4
2003,IE_TRN,3.3
2003,IT_BUS,11.3
2003,IT_CAR,83.1
2003,IT_TRN,5.6
2003,LU_BUS,10.6
2003,LU_CAR,85.7
2003,LU_TRN,3.7
2003,NL_BUS,3.8
2003,NL_CAR,87.8
2003,NL_TRN,8.4
2003,PL_BUS,13.5
2003,PL_CAR,77.6
2003,PL_TRN,8.8
2003,PT_BUS,11.0
2003,PT_CAR,85.1
2003,PT_TRN,3.9
2003,SE_BUS,8.0
2003,SE_CAR,84.3
2003,SE_TRN,7.7
2003,SI_BUS,13.5
2003,SI_CAR,83.5
2003,SI_TRN,3.0
2004,AT_BUS,11.0
2004,AT_CAR,79.6
2004,AT_TRN,9.5
2004,BE_BUS,13.2
2004,BE_CAR,79.6
2004,BE_TRN,7.1
2004,CH_BUS,5.2
2004,CH_CAR,79.6
2004,CH_TRN,15.3
2004,DE_BUS,6.7
2004,DE_CAR,85.8
2004,DE_TRN,7.5
2004,DK_BUS,11.4
2004,DK_CAR,79.3
2004,DK_TRN,9.3
2004,EL_BUS,20.9
2004,EL_CAR,77.5
2004,EL_TRN,1.6
2004,ES_BUS,13.2
2004,ES_CAR,81.7
2004,ES_TRN,5.0
2004,FI_BUS,10.6
2004,FI_CAR,84.8
2004,FI_TRN,4.7
2004,FR_BUS,5.1
2004,FR_CAR,86.2
2004,FR_TRN,8.7
2004,HU_BUS,22.7
2004,HU_CAR,63.8
2004,HU_TRN,13.5
2004,IE_BUS,15.1
2004,IE_CAR,81.9
2004,IE_TRN,3.0
2004,IT_BUS,11.4
2004,IT_CAR,83.0
2004,IT_TRN,5.6
2004,LU_BUS,10.8
2004,LU_CAR,85.6
2004,LU_TRN,3.6
2004,NL_BUS,3.9
2004,NL_CAR,87.7
2004,NL_TRN,8.4
2004,PL_BUS,23.6
