Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2020 Week 24,Dublin Metro Bus,885658.0
Passenger Journeys,2020 Week 24,"Bus, excluding Dublin Metro",219384.0
Passenger Journeys,2020 Week 24,Rail,138791.0
Passenger Journeys,2020 Week 24,"All public transport, excluding LUAS",1243833.0
Passenger Journeys,2020 Week 25,Dublin Metro Bus,1004952.0
Passenger Journeys,2020 Week 25,"Bus, excluding Dublin Metro",250295.0
Passenger Journeys,2020 Week 25,Rail,170670.0
Passenger Journeys,2020 Week 25,"All public transport, excluding LUAS",1425917.0
Passenger Journeys,2020 Week 26,Dublin Metro Bus,1050419.0
Passenger Journeys,2020 Week 26,"Bus, excluding Dublin Metro",259592.0
Passenger Journeys,2020 Week 26,Rail,199508.0
Passenger Journeys,2020 Week 26,"All public transport, excluding LUAS",1509519.0
Passenger Journeys,2020 Week 27,Dublin Metro Bus,1215359.0
Passenger Journeys,2020 Week 27,"Bus, excluding Dublin Metro",305350.0
Passenger Journeys,2020 Week 27,Rail,261970.0
Passenger Journeys,2020 Week 27,"All public transport, excluding LUAS",1782679.0
Passenger Journeys,2020 Week 28,Dublin Metro Bus,1301584.0
Passenger Journeys,2020 Week 28,"Bus, excluding Dublin Metro",338931.0
Passenger Journeys,2020 Week 28,Rail,261970.0
Passenger Journeys,2020 Week 28,"All public transport, excluding LUAS",1902485.0
Passenger Journeys,2020 Week 29,Dublin Metro Bus,1317821.0
Passenger Journeys,2020 Week 29,"Bus, excluding Dublin Metro",347104.0
Passenger Journeys,2020 Week 29,Rail,278033.0
Passenger Journeys,2020 Week 29,"All public transport, excluding LUAS",1942958.0
Passenger Journeys,2020 Week 30,Dublin Metro Bus,1345580.0
Passenger Journeys,2020 Week 30,"Bus, excluding Dublin Metro",358836.0
Passenger Journeys,2020 Week 30,Rail,286232.0
Passenger Journeys,2020 Week 30,"All public transport, excluding LUAS",1990648.0
Passenger Journeys,2020 Week 31,Dublin Metro Bus,1390530.0
Passenger Journeys,2020 Week 31,"Bus, excluding Dublin Metro",369536.0
Passenger Journeys,2020 Week 31,Rail,305731.0
Passenger Journeys,2020 Week 31,"All public transport, excluding LUAS",2065797.0
Passenger Journeys,2020 Week 32,Dublin Metro Bus,1340117.0
Passenger Journeys,2020 Week 32,"Bus, excluding Dublin Metro",357425.0
Passenger Journeys,2020 Week 32,Rail,323489.0
Passenger Journeys,2020 Week 32,"All public transport, excluding LUAS",2021031.0
Passenger Journeys,2020 Week 33,Dublin Metro Bus,1404722.0
Passenger Journeys,2020 Week 33,"Bus, excluding Dublin Metro",382286.0
Passenger Journeys,2020 Week 33,Rail,295557.0
Passenger Journeys,2020 Week 33,"All public transport, excluding LUAS",2082565.0
Passenger Journeys,2020 Week 34,Dublin Metro Bus,1369602.0
Passenger Journeys,2020 Week 34,"Bus, excluding Dublin Metro",354355.0
Passenger Journeys,2020 Week 34,Rail,258999.0
Passenger Journeys,2020 Week 34,"All public transport, excluding LUAS",1982956.0
Passenger Journeys,2020 Week 35,Dublin Metro Bus,1448462.0
Passenger Journeys,2020 Week 35,"Bus, excluding Dublin Metro",390235.0
Passenger Journeys,2020 Week 35,Rail,285663.0
Passenger Journeys,2020 Week 35,"All public transport, excluding LUAS",2124360.0
Passenger Journeys,2020 Week 36,Dublin Metro Bus,1580362.0
Passenger Journeys,2020 Week 36,"Bus, excluding Dublin Metro",418714.0
Passenger Journeys,2020 Week 36,Rail,332558.0
Passenger Journeys,2020 Week 36,"All public transport, excluding LUAS",2331634.0
Passenger Journeys,2020 Week 37,Dublin Metro Bus,1642110.0
Passenger Journeys,2020 Week 37,"Bus, excluding Dublin Metro",427899.0
Passenger Journeys,2020 Week 37,Rail,346681.0
Passenger Journeys,2020 Week 37,"All public transport, excluding LUAS",2416690.0
Passenger Journeys,2020 Week 38,Dublin Metro Bus,1578521.0
Passenger Journeys,2020 Week 38,"Bus, excluding Dublin Metro",432729.0
Passenger Journeys,2020 Week 38,Rail,323907.0
Passenger Journeys,2020 Week 38,"All public transport, excluding LUAS",2335157.0
Passenger Journeys,2020 Week 39,Dublin Metro Bus,1517678.0
Passenger Journeys,2020 Week 39,"Bus, excluding Dublin Metro",438357.0
Passenger Journeys,2020 Week 39,Rail,289803.0
Passenger Journeys,2020 Week 39,"All public transport, excluding LUAS",2245838.0
Passenger Journeys,2020 Week 40,Dublin Metro Bus,1489761.0
Passenger Journeys,2020 Week 40,"Bus, excluding Dublin Metro",435417.0
Passenger Journeys,2020 Week 40,Rail,284420.0
Passenger Journeys,2020 Week 40,"All public transport, excluding LUAS",2209598.0
Passenger Journeys,2020 Week 41,Dublin Metro Bus,1554561.0
Passenger Journeys,2020 Week 41,"Bus, excluding Dublin Metro",405986.0
Passenger Journeys,2020 Week 41,Rail,275531.0
Passenger Journeys,2020 Week 41,"All public transport, excluding LUAS",2236078.0
Passenger Journeys,2020 Week 42,Dublin Metro Bus,1535839.0
Passenger Journeys,2020 Week 42,"Bus, excluding Dublin Metro",382078.0
Passenger Journeys,2020 Week 42,Rail,263936.0
Passenger Journeys,2020 Week 42,"All public transport, excluding LUAS",2181853.0
Passenger Journeys,2020 Week 43,Dublin Metro Bus,1297841.0
Passenger Journeys,2020 Week 43,"Bus, excluding Dublin Metro",319938.0
Passenger Journeys,2020 Week 43,Rail,197097.0
Passenger Journeys,2020 Week 43,"All public transport, excluding LUAS",1814876.0
Passenger Journeys,2020 Week 44,Dublin Metro Bus,868428.0
Passenger Journeys,2020 Week 44,"Bus, excluding Dublin Metro",204748.0
Passenger Journeys,2020 Week 44,Rail,118406.0
Passenger Journeys,2020 Week 44,"All public transport, excluding LUAS",1191582.0
Passenger Journeys,2020 Week 45,Dublin Metro Bus,1163897.0
Passenger Journeys,2020 Week 45,"Bus, excluding Dublin Metro",289411.0
Passenger Journeys,2020 Week 45,Rail,181839.0
Passenger Journeys,2020 Week 45,"All public transport, excluding LUAS",1635147.0
Passenger Journeys,2020 Week 46,Dublin Metro Bus,1169742.0
Passenger Journeys,2020 Week 46,"Bus, excluding Dublin Metro",291201.0
Passenger Journeys,2020 Week 46,Rail,176067.0
Passenger Journeys,2020 Week 46,"All public transport, excluding LUAS",1637010.0
Passenger Journeys,2020 Week 47,Dublin Metro Bus,1207986.0
